,행정구역,업소명,소재지,전화번호,관리구분,위도,경도
0,부산 강서구,개인택시신공항충전소,부산 강서구 경전철로188번길 95,051-0941-3485,자동차충전,35.1986693564441,128.966594429738
1,부산 강서구,부산공항LPG충전소,부산 강서구 공항로 459,051-0973-4036,자동차충전,35.1490640544657,128.951890961126
2,부산 강서구,신항만에너지,부산 강서구 낙동남로 507 ,051-0973-7625,자동차충전,35.1129473817462,128.875259859473
3,부산 강서구,(주)지원네트웍스 부산강서LPG충전소,부산 강서구 낙동북로 310 ,051-0972-0245,자동차충전,35.2125066561207,128.962571748259
4,부산 강서구,신명지에너지,부산 강서구 르노삼성대로 560,051-0271-2464,자동차충전,35.0975541722963,128.927351122083
5,부산 강서구,르노삼성자동차(주),부산 강서구 르노삼성대로 61,051-0979-9085,자동차충전,35.0954080178918,128.883215288804
6,부산 강서구,신항만충전소,부산 강서구 송정동 산 71-2,051-0831-8219,자동차충전,0,0
7,부산 강서구,(주)배성에너지 대저충전소,부산 강서구 체육공원로 24 ,051-0941-9808,자동차충전,35.2062861625409,128.974891287363
8,부산 강서구,죽림LPG충전소,부산 강서구 호계로 102 ,051-0941-2020,자동차충전,35.200735587712,128.893461748636
9,부산 강서구,가락충전소,부산 강서구 호계로 195 ,051-0971-3430,자동차충전,35.2088470489914,128.890148280028
10,부산 금정구,(주)해연,부산 금정구 개좌로 225-15 ,051-0528-1133,용기+탱크+13kg용기,35.2307964234919,129.122387683347
11,부산 금정구,(주)신진가스,부산 금정구 반송로 433 ,051-0523-7948,자동차충전,35.2150059571138,129.111142958232
12,부산 금정구,신한가스(주),부산 금정구 반송로 494,051-0521-0300,자동차충전,35.2164179334318,129.117612191245
13,부산 기장군,마라톤가스(주)청강충전소,부산 기장군 기장읍 기장대로 333 A동,051-0724-5672,자동차충전,35.2256567822601,129.213987656184
14,부산 기장군,동양가스산업(주),부산 기장군 기장읍 기장대로 530 ,051-0721-6838,자동차충전,35.2423832233304,129.220855436218
15,부산 기장군,한국에너지산업(주),부산 기장군 기장읍 기장대로413번길 38,051-0722-5152,용기+자동차+탱크+13kg용기,35.2355431304785,129.215629173709
16,부산 기장군,이원기장오렌지충전소,부산 기장군 기장읍 반송로 1415,051-0722-9489,자동차충전,0,0
17,부산 기장군,아시아드충전소,부산 기장군 일광면 기장대로 1000 ,051-0722-8701,자동차충전,35.2825791889517,129.233558268596
18,부산 기장군,월드컵충전소,부산 기장군 일광면 기장대로 1216 ,051-0727-1212,자동차+13kg용기,35.3020311182352,129.238613664842
19,부산 기장군,(주)금륜에너지 삼성가스충전소,부산 기장군 일광면 기장대로 693,051-0722-5170,자동차충전,35.256586548394,129.22412219857
20,부산 기장군,선암가스충전소,부산 기장군 장안읍 기장대로 1451 ,051-0727-1212,자동차+13kg용기,35.3215849811579,129.241320369699
21,부산 기장군,KH에너지(주)직영장안충전소(부산방향),부산 기장군 장안읍 동해고속도로 25,051-0728-5157,자동차충전,35.3775249434148,129.246401604127
22,부산 기장군,KH에너지(주)직영장안충전소(울산방향),부산 기장군 장안읍 동해고속도로 26,051-0728-5157,자동차충전,35.3828702121171,129.248393624488
23,부산 기장군,정림에너지,부산 기장군 정관읍 신정관로 187 ,051-0727-7867,자동차충전,35.3287139616481,129.201710506065
24,부산 기장군,광신개발(주)직영 정관가스충전소,부산 기장군 정관읍 정관로 907,051-0728-6228,자동차+13kg용기,35.3247489919428,129.210964178169
25,부산 기장군,곰내터널충전소,부산 기장군 정관읍 정관산업로 1143,051-0728-2311,자동차충전,35.3170053762802,129.176084706644
26,부산 기장군,개인택시동부산충전소,부산 기장군 철마면 반송로 1022,051-0723-2090,자동차충전,35.2359295604298,129.163728480316
27,부산 남구,광진기업(주)대연영업소,부산 남구 수영로 212,051-0627-3133,자동차충전,35.1347267645878,129.089624534127
28,부산 동구,개인택시남부LPG충전소,부산 동구 성남로 42,051-0634-6500,자동차충전,35.13062730691,129.054917072285
29,부산 동구,(주)대양씨앤씨(구:녹색에너지 범일영업소),부산 동구 성남로 74-3,051-0644-9745,용기+13kg용기,35.1308912663682,129.057587190356
30,부산 동구,한국가스산업(주),부산 동구 자성로133번길 39,051-0635-3300,용기+자동차+13kg용기,35.1401484640728,129.062834123232
31,부산 동구,마라톤가스(주)초량충전소,부산 동구 중앙대로 310,051-0463-5921,자동차충전,35.1240166356132,129.045030773478
32,부산 동구,개인택시 중앙LPG충전소,부산 동구 중앙대로 334,051-0463-4181,자동차충전,35.1256703548584,129.046173937192
33,부산 동구,문화가스충전소,부산 동구 중앙대로 348,051-0463-5111,자동차충전,35.1264818481279,129.047204034012
34,부산 동래구,(주)삼성에너지,부산 동래구 명륜로 48,051-0555-3100,용기+자동차+13kg용기,35.1981157752139,129.084819763412
35,부산 북구,비케이에너지(주)동양가스충전소,부산 북구 금곡대로 103,051-0333-0036,용기+자동차+13kg용기,35.2190935920293,129.006164867333
36,부산 북구,개인택시 금곡역충전소,부산 북구 금곡대로 704,051-0365-4665,자동차충전,35.2694749292056,129.01878084871
37,부산 북구,(주)삼보,부산 북구 만덕대로 327-0,051-0336-2000,자동차충전,35.2136429770172,129.040634742453
38,부산 북구,한국가스산업(주)구포충전소,부산 북구 사상로 613,051-0304-6051,자동차충전,35.1989354426375,128.990666704546
39,부산 사상구,한국가스산업(주)사상영업소,부산 사상구 가야대로 157,051-0326-3131,용기+자동차+13kg용기,35.1502230679379,128.990053001775
40,부산 사상구,극동유화(주)주례충전소,부산 사상구 가야대로 203,051-0322-4779,자동차+13kg용기,35.1502246425458,128.994510042041
41,부산 사상구,팔성가스충전소,부산 사상구 가야대로 75,051-0314-3555,자동차+13kg용기,35.1513171286913,128.980986007158
42,부산 사상구,(주)MS가스,부산 사상구 가야대로176번길 92 ,051-0325-5501,용기+13kg용기,35.1453944559003,128.990355726825
43,부산 사상구,(주)성은에너지제2충전소,부산 사상구 강변대로 412,051-0313-4028,자동차충전,35.1220919279134,128.962063300788
44,부산 사상구,마라톤가스(주)서부충전소,부산 사상구 낙동대로 1384,051-0305-7948,자동차충전,35.1835632717472,128.976972223449
45,부산 사상구,극동유화(주)감전충전소,부산 사상구 낙동대로 878,051-0320-8500,용기+자동차+탱크+13kg용기,35.138887832237,128.971338926259
46,부산 사상구,광신가스(주),부산 사상구 낙동대로 939,051-0311-0131,용기+자동차+13kg용기,35.1445332972641,128.96931569719
47,부산 사상구,대성산업(주)부산대성충전소,부산 사상구 사상로 339,051-0303-4747,용기+자동차+13kg용기,35.1749089374767,128.983754445263
48,부산 사상구,(주)덕양에너지 직영 구덕산충전소,부산 사상구 학감대로 102,051-0312-0085,자동차충전,35.1408337697412,128.989654096475
49,부산 사상구,주식회사엠에스가스학장충전소,부산 사상구 학장로 165,051-0315-7174,자동차충전,35.1427018632162,128.98524100333
50,부산 사상구,(사)부산광역시 개인택시운송사업조합 사상LPG충전소,부산 사상구 학장로 21,051-0327-9446,자동차충전,35.1350389133572,128.973047740942
51,부산 사하구,광진기업(주)장림영업소,부산 사하구 다대로 309,051-0263-3131,용기+자동차+13kg용기,35.0750066396509,128.977162554724
52,부산 사하구,(주)신성에너지은광가스충전소,부산 사하구 사하로 90,051-0206-3326,용기+자동차+13kg용기,35.0900571383635,128.994629865714
53,부산 사하구,광신가스(주)을숙도대로충전소,부산 사하구 을숙도대로 530,051-0205-8800,자동차충전,35.0852246647706,128.963646285318
54,부산 사하구,개인택시사하엘피지충전소,부산 사하구 을숙도대로 583,051-0204-8630,자동차충전,35.0855336324053,128.969348920983
55,부산 사하구,부산엘피지충전소,부산 사하구 장림로 139,051-0264-9752,자동차충전,35.0828722136485,128.964073694076
56,부산 사하구,(주)신광에너지 장림충전소,부산 사하구 장림로 278,051-0263-7742,자동차충전,35.0833013231141,128.978937290509
57,부산 서구,(주)신광에너지,부산 서구 충무대로 180,051-0248-7365,용기+자동차+13kg용기,35.0864903512918,129.024790706004
58,부산 수영구,(주)수영에너지산업,부산 수영구 수영로 749,051-0751-3436,자동차충전,35.1683138664941,129.1210599159
59,부산 연제구,마라톤가스(주)새동래충전소,부산 연제구 명륜로 15,051-0501-7635,자동차충전,35.1966947291271,129.081773543628
60,부산 연제구,부산개인택시엘피지충전소,부산 연제구 월드컵대로 399,051-0507-8983,자동차충전,35.1860133142641,129.05597409928
61,부산 영도구,(주)태종에너지,부산 영도구 영선대로 41,051-0415-1837,자동차충전,35.0849963865357,129.040033013126
62,부산 영도구,부산에너지,부산 영도구 해양로 160,051-0403-5752,용기+자동차+탱크+13kg용기,35.0912747499963,129.069484516262
63,부산 영도구,개인택시 영도LPG충전소,부산 영도구 해양로 296,051-0403-8987,자동차충전,35.0821758341156,129.076429233525
64,부산 해운대구,이원 해운대LPG충전소,부산 해운대구 해운대로 1255,051-0704-9196,용기+자동차+탱크+13kg용기,35.1967278925561,129.205260082953
