충전소,충전기,주소,이용가능시간
상암수소충전소,1,서울특별시 마포구 하늘공원로 108 ,8~20시(연중무휴)
마곡에코수소충전소,1,서울특별시 강서구 양천로 225 ,8~20시(일요일 휴무)
오곡수소충전소,1,서울특별시 강서구 벌말로 271 ,8~22시(연중무휴)
H국회수소충전소,1,서울특별시 영등포구 의사당대로 1 ,"평일 8~24시 / 주말, 공휴일 8~22시"
양재수소충전소,1,서울특별시 서초구 바우뫼로12길 73 ,8~22시(연중무휴)
H강동수소충전소,1,서울특별시 강동구 천호대로 1452 ,8~22시(연중무휴)
서부산NK수소충전소,1,부산광역시 강서구 가락대로 347 ,"8~18시(토, 일요일 휴무)"
H부산수소충전소,3,부산광역시 사상구 학감대로 167 ,버스 5~22시 / 넥쏘 10~22시(연중무휴)
하이넷부산정관수소충,1,부산광역시 기장군 정관읍 신정관로 187 ,8~20시(월요일 휴무)
대구혁신도시수소충전소,1,대구광역시 동구 첨단로 120 ,"평일 8~21시 / 주말, 공휴일 9~18시"
대구관음수소충전소,2,대구광역시 북구 관음로 127 ,8~20시(토요일 휴무)
하이넷 대구성서수소충전소,1,대구광역시 달서구 성서공단로 97 ,8~20시(일요일 휴무)
대구주행시험장수소충전소,1,대구광역시 달성군 구지면 국가산단서로 201 ,11~21시(연중무휴)
하이넷 인천공항T1수소충전소,1,인천광역시 중구 공항동로135번길 233 ,"평일 8~22시 / 주말, 공휴일 8~20시"
하이넷 인천공항T2수소충전소,2,인천광역시 중구 제2터미널대로 337 ,"평일 8~22시 / 주말, 공휴일 8~20시"
인천그린수소충전소,1,인천광역시 중구 축항대로290번길 124 ,8~20시(연중무휴)
H인천수소충전소,1,인천광역시 남동구 청능대로468번길 1 ,8~22시(연중무휴)
인천태양수소충전소,1,인천광역시 서구 봉수대로 258 ,평일 8~20시 / 주말 9~18시
H벽진수소충전소,1,광주광역시 서구 눌재로 589 ,9~18시(토요일 휴무)
H임암수소충전소,1,광주광역시 남구 김치로 60 ,9~18시(토요일 휴무)
H월출수소충전소,1,광주광역시 북구 삼소로270번길 25 ,"8~20시(일요일, 공휴일 휴무)"
장등수소버스충전소,2,광주광역시 북구 장운길 55 ,9~18시(연중무휴)
진곡수소충전소,1,광주광역시 광산구 진곡산단중앙로 55 ,9~18시(일요일 휴무)
동곡수소충전소,1,광주광역시 광산구 동곡로 326 ,"9~18시(토, 일요일 휴무)"
대전중도가스수소충전소,1,대전광역시 동구 대전로 295 ,8~20시(연중무휴)
학하수소충전소,1,대전광역시 유성구 유성대로 437 ,9~20시(연중무휴)
하이넷 자운대수소충전소,1,대전광역시 유성구 자운로 62 ,8~20시(일요일 휴무)
대전유성수소충전소,2,대전광역시 유성구 현충원로 168 ,8~20시(연중무휴)
하이넷 신탄진휴게소수소충전소,1,대전광역시 대덕구 산업단지로 27 ,8~22시(연중무휴)
신대수소충전소,2,대전광역시 대덕구 신탄진로315번길 72 ,9~20시(연중무휴)
옥동복합수소충전소,1,울산광역시 남구 남부순환도로 465 ,9~20시(연중무휴)
울산투게더수소충전소,2,울산광역시 남구 신화로 99 ,8~18시(연중무휴)
울산에어프로덕츠수소충전소,1,울산광역시 남구 처용로487번길 83 ,"9~18시(토, 일요일 휴무)"
경동복합수소충전소,2,울산광역시 북구 북부순환도로 1165 ,0~24시(연중무휴)
울산창평수소충전소,1, ,0~24시(연중무휴)
언양휴게소(서울) 수소충전소,1,울산광역시 울주군 언양읍 경부고속도로 44 ,8~22시(연중무휴)
울산그린수소충전소,2,울산광역시 울주군 온산읍 온산로 256 ,6~18시(연중무휴)
신일복합수소충전소,2,울산광역시 울주군 웅촌면 웅촌로 490 ,6~18시(연중무휴)
울산덕하수소충전소,2,울산광역시 울주군 청량읍 온산로 545 ,6시 30분~22시(연중무휴)
하이넷 세종청사수소충전소,1,세종특별자치시 도움4로 13 ,8~20시(토요일 휴무)
하이넷 세종대평수소충전소,1,세종특별자치시 종합운동장로 29 ,8~20시(일요일 휴무)
하이넷 수원영통 수소충전소,1,경기도 수원시 영통구 광교호수로 250 ,08~20시(일요일 휴무)
성남수소충전소,1,경기도 성남시 중원구 경충대로 2659 ,8~20시(연중무휴)
하이넷광명소하수소,1,경기도 광명시 기아로 115 ,8~20시(일요일 휴무)
하이넷 평택팽성 수소충전소,1,경기도 평택시 팽성읍 팽성로 226 (라인45 충전소),08~20시(일요일 휴무)
평택블루에너지수소충전소,1,경기도 평택시 청원로 1413 ,8~20시(연중무휴)
평화수소충전소,1,경기도 평택시 현덕면 서해로 506 ,8~20시(연중무휴)
안산수소e로움충전소,1,경기도 안산시 단원구 첨단로 660 ,7~21시(연중무휴)
고양덕은수소충전소,1,경기도 고양시 덕양구 자유로 86 ,8~21시(일요일 휴무)
원당수소충전소,1,경기도 고양시 덕양구 호국로 989 ,8~22시(연중무휴)
H하남수소충전소,1,경기도 하남시 중부고속도로 117-2 ,8~22시(연중무휴)
하이넷 에버랜드 수소충전소,1,경기도 용인시 처인구 포곡읍 곡현로 74 ,08~20시(월요일 휴무)
안성휴게소(부산) 수소충전소,1,경기도 안성시 원곡면 경부고속도로 365 ,8~22시(연중무휴)
안성휴게소(서울) 수소충전소,1,경기도 안성시 원곡면 경부고속도로 372 ,8~22시(연중무휴)
안성수소충전소,1,경기도 안성시 영봉로 139 ,9~20시(연중무휴)
하이넷 김포걸포 수소충전소,1,경기도 김포시 감암로 127 ,08~20시(일요일 휴무)
하이넷 화성동탄 수소충전소,1, ,08~20시(월요일 휴무)
하이넷 화성시청 수소충전소,1,경기도 화성시 남양읍 시청로 159 ,08~21시(일요일 휴무)
화성향남수소충전소,1, ,평일 8~21시 / 주말 8~17시(수요일 휴무)
여주휴게소(강릉) 수소충전소,1,경기도 여주시 가남읍 여주남로 722 ,8~22시(연중무휴)
하이넷 춘천휴게소(부산) 수소충전소,1,강원도 춘천시 동내면 영서로 1432 ,8~22시(연중무휴)
춘천동내수소충전소,1,강원도 춘천시 동내면 영서로 1632 ,8~19시(연중무휴)
하이넷 문막휴게소(강릉) 수소충전소,1,강원도 원주시 문막읍 원문로 1234-1 ,8~22시(연중무휴)
속초수소충전소,1,강원도 속초시 동해대로 4521 ,8~20시(연중무휴)
삼척수소충전소,1,강원도 삼척시 동해대로 3848 ,8~20시(연중무휴)
평창대관령수소충전소,1,강원도 평창군 대관령면 경강로 5754 ,8~19시(연중무휴)
하이넷 내린천휴게소(양양) 수소충전소,1,강원도 인제군 상남면 서울양양고속도로 117 ,"9~18시(월, 화요일 휴무)"
청주수소충전소,1,충청북도 청주시 청원구 오창읍 양청농소길 101 ,평일 8~20시 / 주말 13~18시
도원수소충전소,1,충청북도 청주시 청원구 내수읍 충청대로 771 ,평일 8~20시 / 주말 13~18시
청주가로수수소충전소,1,충청북도 청주시 흥덕구 가로수로 793 ,평일 8~20시 / 주말 8~13시
충주연수수소충전소,1,충청북도 충주시 금봉대로 605 ,7:30~20:30(연중무휴)
충주바이오그린 수소충전소,1,충청북도 충주시 벌터4길 13 ,평일 09~18시 토요일 09~15시(일요일 휴무)
제천삼보수소충전소,1,충청북도 제천시 봉양읍 북부로 913 ,평일 8~20시 / 주말 8~18시
하이넷 속리산휴게소 수소충전소,1, ,08~22시(연중무휴)
괴산군개미수소충전소,1,충청북도 괴산군 괴산읍 읍내로 55 ,8~20시(연중무휴)
삼한수소충전소,1,충청북도 음성군 생극면 중원대로 792 ,5시 30분~23시(연중무휴)
음성휴게소(남이) 수소충전소,1,충청북도 음성군 삼성면 중부고속도로 51 ,08~22시
천안시수소충전소,2,충청남도 천안시 서북구 번영로 158 ,9~20시(연중무휴)
망향린데수소충전소,2,충청남도 천안시 서북구 성거읍 돌다리길 23-37 ,8~22시(연중무휴)
입장휴게소(서울) 수소충전소,2,충청남도 천안시 서북구 입장면 연곡길 407 ,08~22시(연중무휴)
아산시초사수소충전소,1,충청남도 아산시 무궁화로 52-26 ,8~20시(연중무휴)
하이넷 아산인주 수소충전소,1,충청남도 아산시 인주면 현대로1029번길 200-52 ,08~20시(일요일 휴무)
서산시수소충전소,3,충청남도 서산시 음암면 서해로 3828 ,9~20시(연중무휴)
당진수소충전소,3,충청남도 당진시 송산면 가곡로 189 ,"9~18시(토, 일요일 휴무)"
하이넷 당진정미 수소충전소,1,충청남도 당진시 정미면 서해로 4916 ,08~20시(일요일 휴무)
내포수소충전소,1,충청남도 홍성군 홍북읍 용봉로 234 ,8~21시(연중무휴)
하이넷 전주송천수소충전소,1,전라북도 전주시 덕진구 동부대로 1275 ,8~20시(일요일 휴무)
전주삼천수소충전소,2,전라북도 전주시 완산구 정여립로 536 ,8~21시(연중무휴)
익산2공단수소충전소,1,전라북도 익산시 석암로 169 ,8~20시(연중무휴)
완주수소충전소,2,전라북도 완주군 봉동읍 과학로 930 ,8~20시(연중무휴)
부안군수소충전소,2,전라북도 부안군 행안면 부안3농공단지길 80 ,8~19시(연중무휴)
하이넷 여수SPG 수소충전소,1,전라남도 여수시 여수산단로 603 ,08~20시(수요일 휴무)
하이넷 광양성황수소충전소,1,전라남도 광양시 백운로 955-4 ,8~20시(화요일 휴무)
백양사휴게소(천안) 수소충전소,1,전라남도 장성군 북일면 호남고속도로 108 ,8~22시(연중무휴)
하이넷 상주외답 수소충전소,1,경상북도 상주시 영남제일로 1339 ,08~20시(일요일 휴무)
성주휴게소(양평) 수소충전소,1,경상북도 성주군 초전면 중부내륙고속도로 98 ,8~22시(연중무휴)
창원성주수소충전소,1,경상남도 창원시 성산구 불모산로 43 ,4~23시(일요일 휴무)
창원팔룡수소충전소,1,경상남도 창원시 의창구 소계로 1 ,"6~22시(토, 일요일 휴무)"
창원덕동수소충전소,1,경상남도 창원시 마산합포구 현동로 252 ,6~20시(연중무휴)
창원센트럴수소충전소,1,경상남도 창원시 성산구 중앙대로21번길 5 ,"평일 8~20시 / 토요일 8~17시(일요일, 공휴일 휴무)"
창원죽곡수소충전소,2,경상남도 창원시 진해구 진해대로 1327 ,8~20시(연중무휴)
창원사림수소충전소,1,경상남도 창원시 의창구 용동로 110 ,9~18시(연중무휴)
진주수소충전소,1,경상남도 진주시 판문로 194 ,"평일 7~21시 / 주말, 공휴일 9~18시"
하이넷 통영용남수소충전소,1,경상남도 통영시 용남면 남해안대로 38 ,"7~21시(매주 수요일 / 둘, 넷째주 일요일 휴무)"
김해수소충전소,2,경상남도 김해시 김해대로2596번길 53 ,"평일 8~21시 / 주말, 공휴일 9~18시"
하이넷 거제장평수소충전소,1,경상남도 거제시 거제대로 5050 ,6~24시(일요일 휴무)
양산시증산수소충전소,1,경상남도 양산시 물금읍 메기로 114 ,7~23시(연중무휴)
H함안수소충전소,1,경상남도 함안군 군북면 현포로 205 ,8~22시(연중무휴)
,,,
