,충전소,충전기,주소,위도,경도
0,상암수소충전소,1.0,서울특별시 마포구 하늘공원로 108 ,37.5696850758702,126.88007274474
1,마곡에코수소충전소,1.0,서울특별시 강서구 양천로 225 ,37.5730160427763,126.829208298294
2,오곡수소충전소,1.0,서울특별시 강서구 벌말로 271 ,37.5558448918694,126.768180622435
3,H국회수소충전소,1.0,서울특별시 영등포구 의사당대로 1 ,37.5329119742768,126.916403869603
4,양재수소충전소,1.0,서울특별시 서초구 바우뫼로12길 73 ,37.4683777684399,127.03437368803
5,H강동수소충전소,1.0,서울특별시 강동구 천호대로 1452 ,37.5450603133482,127.170031532382
6,서부산NK수소충전소,1.0,부산광역시 강서구 가락대로 347 ,35.1131711146812,128.843291174659
7,H부산수소충전소,3.0,부산광역시 사상구 학감대로 167 ,35.145864397558,128.987651486484
8,하이넷부산정관수소충,1.0,부산광역시 기장군 정관읍 신정관로 187 ,35.3287139616481,129.201710506065
9,대구혁신도시수소충전소,1.0,대구광역시 동구 첨단로 120 ,35.8868062261966,128.729850904817
10,대구관음수소충전소,2.0,대구광역시 북구 관음로 127 ,35.9429068348923,128.541565257954
11,하이넷 대구성서수소충전소,1.0,대구광역시 달서구 성서공단로 97 ,0,0
12,대구주행시험장수소충전소,1.0,대구광역시 달성군 구지면 국가산단서로 201 ,35.6470856002017,128.400600453895
13,하이넷 인천공항T1수소충전소,1.0,인천광역시 중구 공항동로135번길 233 ,37.4498976521214,126.4750884831
14,하이넷 인천공항T2수소충전소,2.0,인천광역시 중구 제2터미널대로 337 ,37.4815971442527,126.42327684262
15,인천그린수소충전소,1.0,인천광역시 중구 축항대로290번길 124 ,37.4386624934115,126.620013673833
16,H인천수소충전소,1.0,인천광역시 남동구 청능대로468번길 1 ,37.3986689770487,126.711543171902
17,인천태양수소충전소,1.0,인천광역시 서구 봉수대로 258 ,37.4988136674346,126.661882030674
18,H벽진수소충전소,1.0,광주광역시 서구 눌재로 589 ,0,0
19,H임암수소충전소,1.0,광주광역시 남구 김치로 60 ,35.1096681816823,126.866653368419
20,H월출수소충전소,1.0,광주광역시 북구 삼소로270번길 25 ,35.238570533257,126.86539562243
21,장등수소버스충전소,2.0,광주광역시 북구 장운길 55 ,35.2002709669903,126.933205217484
22,진곡수소충전소,1.0,광주광역시 광산구 진곡산단중앙로 55 ,35.1949093875695,126.789587586912
23,동곡수소충전소,1.0,광주광역시 광산구 동곡로 326 ,35.1112245876625,126.780161031944
24,대전중도가스수소충전소,1.0,대전광역시 동구 대전로 295 ,36.2944995057864,127.460576812828
25,낭월수소충전소,2.0,대전광역시 동구 금산로 455 ,36.2681672444402,127.478769337439
26,학하수소충전소,1.0,대전광역시 유성구 유성대로 437 ,36.3358970372386,127.316293552582
27,하이넷 자운대수소충전소,1.0,대전광역시 유성구 자운로 62 ,36.3984254879575,127.346924928351
28,대전유성수소충전소,2.0,대전광역시 유성구 현충원로 168 ,36.3597569678892,127.290490369288
29,하이넷 신탄진휴게소수소충전소,1.0,대전광역시 대덕구 산업단지로 27 ,36.4281311186935,127.418571981966
30,신대수소충전소,2.0,대전광역시 대덕구 신탄진로315번길 72 ,36.4087364953902,127.421992789637
31,옥동복합수소충전소,1.0,울산광역시 남구 남부순환도로 465 ,35.5228429033924,129.291200016507
32,울산투게더수소충전소,2.0,울산광역시 남구 신화로 99 ,35.5261190729173,129.340526427988
33,울산에어프로덕츠수소충전소,1.0,울산광역시 남구 처용로487번길 83 ,35.4835061615247,129.358211193207
34,경동복합수소충전소,2.0,울산광역시 북구 북부순환도로 1165 ,35.5811356896752,129.357556124022
35,울산창평수소충전소,1.0, 울산 북구 창평동 1098-5,35.6152524080465,129.352647081715
36,언양휴게소(서울) 수소충전소,1.0,울산광역시 울주군 언양읍 경부고속도로 44 ,35.5987674397808,129.141538944443
37,울산그린수소충전소,2.0,울산광역시 울주군 온산읍 온산로 256 ,35.4636816480029,129.334317761906
38,신일복합수소충전소,2.0,울산광역시 울주군 웅촌면 웅촌로 490 ,35.4716990955665,129.21825841132
39,울산덕하수소충전소,2.0,울산광역시 울주군 청량읍 온산로 545 ,35.4759720234336,129.309334035838
40,하이넷 세종청사수소충전소,1.0,세종특별자치시 도움4로 13 ,36.502544924301,127.26211023391
41,하이넷 세종대평수소충전소,1.0,세종특별자치시 종합운동장로 29 ,36.4690624935185,127.268318440248
42,하이넷 수원영통 수소충전소,1.0,경기도 수원시 영통구 광교호수로 250 ,37.2865277237901,127.078420491677
43,성남수소충전소,1.0,경기도 성남시 중원구 경충대로 2659 ,37.4217577604635,127.155176161951
44,하이넷광명소하수소,1.0,경기도 광명시 기아로 115 ,37.4385597095702,126.892586440661
45,하이넷 평택팽성 수소충전소,1.0,경기도 평택시 팽성읍 팽성로 226 (라인45 충전소),36.954565030027,127.060685832094
46,평택블루에너지수소충전소,1.0,경기도 평택시 청원로 1413 ,37.0538079320047,127.080350611931
47,평화수소충전소,1.0,경기도 평택시 현덕면 서해로 506 ,36.9459031878691,126.913900468186
48,안산수소e로움충전소,1.0,경기도 안산시 단원구 첨단로 660 ,37.2960395555358,126.793459681023
49,고양덕은수소충전소,1.0,경기도 고양시 덕양구 자유로 86 ,37.5814356197595,126.855574955413
50,원당수소충전소,1.0,경기도 고양시 덕양구 호국로 989 ,37.6706325432015,126.850102573025
51,H하남수소충전소,1.0,경기도 하남시 중부고속도로 117-2 ,37.5310361192643,127.208669340316
52,하이넷 에버랜드 수소충전소,1.0,경기도 용인시 처인구 포곡읍 곡현로 74 ,37.2932723564389,127.222609319703
53,안성휴게소(부산) 수소충전소,1.0,경기도 안성시 원곡면 경부고속도로 365 ,37.0135818447457,127.144715602331
54,안성휴게소(서울) 수소충전소,1.0,경기도 안성시 원곡면 경부고속도로 372 ,37.0767728142858,127.132497850726
55,안성수소충전소,1.0,경기도 안성시 영봉로 139 ,37.0007107702484,127.281121840382
56,하이넷 김포걸포 수소충전소,1.0,경기도 김포시 감암로 127 ,37.6429039434082,126.709379054644
57,하이넷 화성동탄 수소충전소,1.0, ,0,0
58,하이넷 화성시청 수소충전소,1.0,경기도 화성시 남양읍 시청로 159 ,37.1974995347744,126.830255942265
59,화성향남수소충전소,1.0, ,0,0
60,여주휴게소(강릉) 수소충전소,1.0,경기도 여주시 가남읍 여주남로 722 ,37.2377222002659,127.568314638079
61,하이넷 춘천휴게소(부산) 수소충전소,1.0,강원도 춘천시 동내면 영서로 1432 ,37.812785372249,127.766131070527
62,춘천동내수소충전소,1.0,강원도 춘천시 동내면 영서로 1632 ,37.8216967880946,127.761815290664
63,하이넷 문막휴게소(강릉) 수소충전소,1.0,강원도 원주시 문막읍 원문로 1234-1 ,37.3365246553588,127.858821366285
64,속초수소충전소,1.0,강원도 속초시 동해대로 4521 ,38.2175619540169,128.563730371042
65,삼척수소충전소,1.0,강원도 삼척시 동해대로 3848 ,37.4296289982519,129.18322130603
66,평창대관령수소충전소,1.0,강원도 평창군 대관령면 경강로 5754 ,37.6855230236318,128.75830269648
67,하이넷 내린천휴게소(양양) 수소충전소,1.0,강원도 인제군 상남면 서울양양고속도로 117 ,37.9175403488106,128.288270487163
68,청주수소충전소,1.0,충청북도 청주시 청원구 오창읍 양청농소길 101 ,36.7072865216593,127.440635964593
69,도원수소충전소,1.0,충청북도 청주시 청원구 내수읍 충청대로 771 ,36.7120721240447,127.53404482608
70,청주가로수수소충전소,1.0,충청북도 청주시 흥덕구 가로수로 793 ,36.6206459827624,127.386920994795
71,충주연수수소충전소,1.0,충청북도 충주시 금봉대로 605 ,36.9887560389284,127.945029235783
72,충주바이오그린 수소충전소,1.0,충청북도 충주시 벌터4길 13 ,36.9689636821716,127.894677044515
73,제천삼보수소충전소,1.0,충청북도 제천시 봉양읍 북부로 913 ,37.1391137078124,128.073112792327
74,하이넷 속리산휴게소 수소충전소,1.0, ,0,0
75,괴산군개미수소충전소,1.0,충청북도 괴산군 괴산읍 읍내로 55 ,36.7990723481985,127.775993996469
76,삼한수소충전소,1.0,충청북도 음성군 생극면 중원대로 792 ,37.0550392068503,127.602145801352
77,음성휴게소(남이) 수소충전소,1.0,충청북도 음성군 삼성면 중부고속도로 51 ,37.0170328460188,127.481291015236
78,음성휴게소(하남) 수소충전소,2.0,충청북도 음성군 삼성면 중부고속도로 52 ,37.0235811658804,127.484045361491
79,천안시수소충전소,2.0,충청남도 천안시 서북구 번영로 158 ,36.8150153666149,127.110258063346
80,망향린데수소충전소,2.0,충청남도 천안시 서북구 성거읍 돌다리길 23-37 ,36.8560259693033,127.181213326292
81,입장휴게소(서울) 수소충전소,2.0,충청남도 천안시 서북구 입장면 연곡길 407 ,36.943068193002,127.193601702658
82,아산시초사수소충전소,1.0,충청남도 아산시 무궁화로 52-26 ,36.747541504035,126.978465840659
83,하이넷 아산인주 수소충전소,1.0,충청남도 아산시 인주면 현대로1029번길 200-52 ,36.8484696426352,126.856727843295
84,서산시수소충전소,3.0,충청남도 서산시 음암면 서해로 3828 ,36.7825127279366,126.492880287662
85,당진수소충전소,3.0,충청남도 당진시 송산면 가곡로 189 ,36.9753093639337,126.707384565558
86,하이넷 당진정미 수소충전소,1.0,충청남도 당진시 정미면 서해로 4916 ,36.8385094812738,126.583949329399
87,내포수소충전소,1.0,충청남도 홍성군 홍북읍 용봉로 234 ,36.6351137068995,126.683886102559
88,하이넷 전주송천수소충전소,1.0,전라북도 전주시 덕진구 동부대로 1275 ,35.8697361672683,127.106991614403
89,전주삼천수소충전소,2.0,전라북도 전주시 완산구 정여립로 536 ,35.8024340335582,127.079678010893
90,익산2공단수소충전소,1.0,전라북도 익산시 석암로 169 ,35.9430615245533,127.008707120008
91,완주수소충전소,2.0,전라북도 완주군 봉동읍 과학로 930 ,35.9519354506941,127.126114197771
92,부안군수소충전소,2.0,전라북도 부안군 행안면 부안3농공단지길 80 ,35.7386845905445,126.723454094223
93,하이넷 여수SPG 수소충전소,1.0,전라남도 여수시 여수산단로 603 ,34.8314056725732,127.68572216283
94,하이넷 광양성황수소충전소,1.0,전라남도 광양시 백운로 955-4 ,34.9478920735312,127.67718125088
95,백양사휴게소(천안) 수소충전소,1.0,전라남도 장성군 북일면 호남고속도로 108 ,35.3929980237475,126.807393235328
96,하이넷 상주외답 수소충전소,1.0,경상북도 상주시 영남제일로 1339 ,36.4182633925737,128.193539036047
97,성주휴게소(양평) 수소충전소,1.0,경상북도 성주군 초전면 중부내륙고속도로 98 ,36.0082926831862,128.261639129248
98,창원성주수소충전소,1.0,경상남도 창원시 성산구 불모산로 43 ,35.1907617657212,128.722632034949
99,창원팔룡수소충전소,1.0,경상남도 창원시 의창구 소계로 1 ,35.2528282675607,128.605183654876
100,창원덕동수소충전소,1.0,경상남도 창원시 마산합포구 현동로 252 ,35.1344359694323,128.563565781884
101,창원센트럴수소충전소,1.0,경상남도 창원시 성산구 중앙대로21번길 5 ,0,0
102,창원죽곡수소충전소,2.0,경상남도 창원시 진해구 진해대로 1327 ,35.1145825898537,128.720838799651
103,창원사림수소충전소,1.0,경상남도 창원시 의창구 용동로 110 ,35.2400082724584,128.703270350615
104,진주수소충전소,1.0,경상남도 진주시 판문로 194 ,35.1838882890693,128.039973719182
105,하이넷 통영용남수소충전소,1.0,경상남도 통영시 용남면 남해안대로 38 ,34.8912457478826,128.471818582463
106,김해수소충전소,2.0,경상남도 김해시 김해대로2596번길 53 ,0,0
107,하이넷 거제장평수소충전소,1.0,경상남도 거제시 거제대로 5050 ,34.8947636382754,128.587446792026
108,양산시증산수소충전소,1.0,경상남도 양산시 물금읍 메기로 114 ,35.3034035505545,129.010256646375
109,H함안수소충전소,1.0,경상남도 함안군 군북면 현포로 205 ,35.2934667541833,128.348064495941
